ID,E04,Registration Status,Admissions Status,Matriculation Status,Attendance Status,Class Level,Total Credits Enrolled,County,School,Program,Degree,Major,Major_Desc,Program,Concentration,age,Housing,Ethnicity_ALL,BannerTerm,Residency
133325,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Atlantic,BUSN,HTEM,BS,HTEM,Hospitality Tourism Event Mgmt,HTEM,GENE,41,,Hispanic or Latino,202320,R
133331,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Ocean,SOBL,PSYC-BA,BA,PSYC,Psychology,PSYC-BA,ELEM,22,,Caucasian or White,202320,R
133347,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,12,Ocean,HLTH,EXSC-BS,BS,EXSC,Exercise Science,EXSC-BS,GENE,23,,Caucasian or White,202320,R
133352,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Cumberland,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MGMT,20,,Hispanic or Latino,202320,R
133357,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,16,Atlantic,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,FIN,19,,Hispanic or Latino,202320,R
133368,Male,Transfer,Transfer,Degree-Seeking,FT,First-Year,17,Ocean,NAMS,MATH-BS,BS,MATH,Mathematics,MATH-BS,GENE,20,,Caucasian or White,202320,R
133010,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,14,Gloucester,NAMS,ENVL_BS,BS,ENSC,Environmental Science,ENVL_BS,FORS,23,,Caucasian or White,202320,R
133139,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,15,Camden,NAMS,ENVL_BS,BS,ENSC,Environmental Science,ENVL_BS,GENE,22,Y,Caucasian or White,202320,R
133170,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,20,Atlantic,NAMS,ENVL_BS,BS,ENSC,Environmental Science,ENVL_BS,GENE,30,,Caucasian or White,202320,R
132856,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,20,Atlantic,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,GENE,26,,Caucasian or White,202320,R
132869,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,13,Ocean,NAMS,MARS-BA,BA,MARS,Marine Science,MARS-BA,MBIO,29,,Caucasian or White,202320,R
132890,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,14,Atlantic,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,GENE,27,,Asian,202320,R
132896,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,16,Cape May,SOBL,PSYC-BA,BA,PSYC,Psychology,PSYC-BA,MHLT,26,,Caucasian or White,202320,R
132902,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,16,Cape May,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MKTG,27,,Caucasian or White,202320,R
132935,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,16,Atlantic,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MGMT,24,,Caucasian or White,202320,R
132944,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,12,Ocean,BUSN,INSY,BS,INSY,Computer Information Systems,INSY,GENE,25,,Caucasian or White,202320,R
133042,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,16,Monmouth,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,ACCT,21,Y,Caucasian or White,202320,R
133046,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,16,Atlantic,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,GENE,21,,Asian,202320,R
133058,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,12,Atlantic,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,FIN,25,,Caucasian or White,202320,R
133079,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,17,Cumberland,HLTH,EXSC-BS,BS,EXSC,Exercise Science,EXSC-BS,GENE,20,,Caucasian or White,202320,R
133127,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,14,Ocean,ARHU,ARTV-BA,BA,ARTV,Visual Arts,ARTV-BA,VIBA,35,,Caucasian or White,202320,R
133151,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,16,Atlantic,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,GENE,27,,Black or African American,202320,R
